"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"LambertW","LambertW","C:/Program Files/R/R-4.2.3/library","0.6.7-1",NA,"MASS, ggplot2,","lamW (>= 1.3.0), stats, graphics, grDevices, RColorBrewer,
reshape2, Rcpp (>= 1.0.4), methods","Rcpp, lamW","boot, Rsolnp, nortest, numDeriv, testthat, data.table,
moments, knitr, markdown, vars,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"lamW","lamW","C:/Program Files/R/R-4.2.3/library","2.1.2",NA,NA,"Rcpp, RcppParallel","Rcpp, RcppParallel","covr, tinytest",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"later","later","C:/Program Files/R/R-4.2.3/library","1.3.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"lattice","lattice","C:/Program Files/R/R-4.2.3/library","0.20-45","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"latticeExtra","latticeExtra","C:/Program Files/R/R-4.2.3/library","0.6-30",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"lava","lava","C:/Program Files/R/R-4.2.3/library","1.7.2.1",NA,"R (>= 3.0)","future.apply, grDevices, graphics, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, graph, knitr, bookdown, rmarkdown, igraph (>= 0.6),
lavaSearch2, lme4, mets (>= 1.1), nlme, optimx, polycor,
quantreg, rgl, R.rsp (>= 0.40), targeted (>= 0.2), testthat (>=
0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"lavaan","lavaan","C:/Program Files/R/R-4.2.3/library","0.6-15",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv, quadprog",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"lazyeval","lazyeval","C:/Program Files/R/R-4.2.3/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"lfe","lfe","C:/Program Files/R/R-4.2.3/library","2.9-0",NA,"R (>= 2.15.2), Matrix (>= 1.1-2)","Formula, xtable, compiler, utils, methods, sandwich, parallel",NA,"knitr, digest, igraph, plm, cubature (>= 2.0.3), numDeriv,
data.table, alpaca, testthat",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.3"
"libcoin","libcoin","C:/Program Files/R/R-4.2.3/library","1.0-9",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"lifecycle","lifecycle","C:/Program Files/R/R-4.2.3/library","1.0.3",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, rlang (>= 1.0.6)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"linprog","linprog","C:/Program Files/R/R-4.2.3/library","0.9-4",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"lisrelToR","lisrelToR","C:/Program Files/R/R-4.2.3/library","0.1.5",NA,"R (>= 2.15.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"listenv","listenv","C:/Program Files/R/R-4.2.3/library","0.9.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
"listviewer","listviewer","C:/Program Files/R/R-4.2.3/library","3.0.0",NA,NA,"htmltools, htmlwidgets, shiny",NA,"jsonlite, miniUI, rstudioapi","reactR","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"lme4","lme4","C:/Program Files/R/R-4.2.3/library","1.1-32",NA,"R (>= 3.5.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"lmerTest","lmerTest","C:/Program Files/R/R-4.2.3/library","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"lmom","lmom","C:/Program Files/R/R-4.2.3/library","2.9",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.2.0"
"lmtest","lmtest","C:/Program Files/R/R-4.2.3/library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"lobstr","lobstr","C:/Program Files/R/R-4.2.3/library","1.1.2",NA,"R (>= 3.2)","crayon, methods, prettyunits, rlang (>= 1.0.0)","cpp11 (>= 0.4.2)","covr, pillar, pkgdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"locpol","locpol","C:/Program Files/R/R-4.2.3/library","0.8.0",NA,"R (>= 2.5.0), graphics, stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"lpdensity","lpdensity","C:/Program Files/R/R-4.2.3/library","2.4",NA,"R (>= 3.1)","ggplot2, MASS",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"lpSolve","lpSolve","C:/Program Files/R/R-4.2.3/library","5.6.18",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.2"
"lpSolveAPI","lpSolveAPI","C:/Program Files/R/R-4.2.3/library","5.5.2.0-17.9",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.1"
"lsr","lsr","C:/Program Files/R/R-4.2.3/library","0.5.2",NA,NA,"graphics, grDevices, methods, stats",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ltm","ltm","C:/Program Files/R/R-4.2.3/library","1.2-0",NA,"R (>= 3.0.0), MASS, msm, polycor",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"lubridate","lubridate","C:/Program Files/R/R-4.2.3/library","1.9.2",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"magic","magic","C:/Program Files/R/R-4.2.3/library","1.6-1",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.2"
"magrittr","magrittr","C:/Program Files/R/R-4.2.3/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"mapproj","mapproj","C:/Program Files/R/R-4.2.3/library","1.2.11",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.2.3"
"maps","maps","C:/Program Files/R/R-4.2.3/library","3.4.1",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"maptools","maptools","C:/Program Files/R/R-4.2.3/library","1.1-6",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"marginaleffects","marginaleffects","C:/Program Files/R/R-4.2.3/library","0.11.1",NA,"R (>= 3.6.0)","checkmate, data.table, generics, insight (>= 0.19.1), methods,
Rcpp (>= 1.0.10)","Rcpp, RcppEigen","AER, Amelia, afex, aod, bench, betareg, BH, bife, biglm,
blme, boot, brglm2, brms, brmsmargins, broom, collapse,
conflicted, covr, crch, distributional, dplyr, emmeans,
equivalence, estimatr, fixest, future, fwb, gam, gamlss,
gamlss.dist, geepack, ggdag, ggdist, ggokabeito, ggplot2,
ggrepel, glmmTMB, glmx, haven, here, itsadug, ivreg,
kableExtra, knitr, lme4, lmerTest, magrittr, margins, MatchIt,
MASS, mclogit, MCMCglmm, missRanger, mgcv, mhurdle, mice,
miceadds, mlogit, modelbased, modelsummary, nlme, nnet,
numDeriv, optmatch, ordinal, parameters, patchwork, pkgdown,
phylolm, plm, polspline, poorman, posterior, prediction, pscl,
purrr, quantreg, Rchoice, remotes, rmarkdown, rms, robust,
robustbase, rsample, rstanarm, rstantools, rsvg,
sampleSelection, sandwich, scam, speedglm, spelling, survey,
survival, svglite, systemfonts, tibble, tidymodels, tidyr,
tidyverse, tinysnapshot, tinytest, titanic, truncreg, tsModel,
withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"margins","margins","C:/Program Files/R/R-4.2.3/library","0.3.26",NA,NA,"utils, stats, prediction (>= 0.3.6), data.table, graphics,
grDevices, MASS",NA,"methods, knitr, rmarkdown, testthat, ggplot2, gapminder,
sandwich, stargazer, lme4","AER, betareg, nnet, ordinal, survey","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"markdown","markdown","C:/Program Files/R/R-4.2.3/library","1.7",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"marqLevAlg","marqLevAlg","C:/Program Files/R/R-4.2.3/library","2.0.8",NA,"R (>= 3.5.0)","doParallel, foreach",NA,"microbenchmark,knitr,rmarkdown,ggplot2,viridis,patchwork,xtable",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.2.3"
"MASS","MASS","C:/Program Files/R/R-4.2.3/library","7.3-58.2","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"Matching","Matching","C:/Program Files/R/R-4.2.3/library","4.10-8",NA,"R (>= 2.6.0), MASS (>= 7.2-1), graphics, grDevices, stats",NA,NA,"parallel, rgenoud (>= 2.12), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"MatchIt","MatchIt","C:/Program Files/R/R-4.2.3/library","4.5.2",NA,"R (>= 3.5.0)","backports (>= 1.1.9), Rcpp (>= 1.0.10), utils, stats, graphics","Rcpp, RcppProgress","optmatch (>= 0.10.6), Matching, rgenoud, quickmatch (>=
0.2.1), nnet, rpart, mgcv, CBPS (>= 0.17), dbarts, randomForest
(>= 4.7-1), glmnet (>= 4.0), gbm (>= 2.1.7), cobalt (>= 4.2.3),
boot, marginaleffects (>= 0.9.0), sandwich (>= 2.5-1),
survival, RcppProgress (>= 0.4.2), Rglpk, Rsymphony, gurobi,
knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"mathjaxr","mathjaxr","C:/Program Files/R/R-4.2.3/library","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"matlib","matlib","C:/Program Files/R/R-4.2.3/library","0.9.6",NA,NA,"xtable, MASS, rgl, car, methods",NA,"knitr, rmarkdown, carData, webshot2, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"Matrix","Matrix","C:/Program Files/R/R-4.2.3/library","1.5-3","recommended","R (>= 3.5.0), methods","graphics, grid, lattice, stats, utils",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.3"
"MatrixModels","MatrixModels","C:/Program Files/R/R-4.2.3/library","0.5-1",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.4-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"matrixStats","matrixStats","C:/Program Files/R/R-4.2.3/library","1.0.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.3"
"maxLik","maxLik","C:/Program Files/R/R-4.2.3/library","1.5-2",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich, generics",NA,"MASS, clue, dlm, plot3D, tibble, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mc2d","mc2d","C:/Program Files/R/R-4.2.3/library","0.1-22",NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"mclust","mclust","C:/Program Files/R/R-4.2.3/library","6.0.0",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"MCMCglmm","MCMCglmm","C:/Program Files/R/R-4.2.3/library","2.34",NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom, MCMCpack, bayesm, msm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"Mediana","Mediana","C:/Program Files/R/R-4.2.3/library","1.0.8",NA,NA,"doParallel, doRNG, foreach, MASS, mvtnorm, stats, survival,
utils",NA,"flextable, knitr, officer, rmarkdown, pander",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"mediation","mediation","C:/Program Files/R/R-4.2.3/library","4.5.0",NA,"R (>= 2.15.1), MASS, Matrix, mvtnorm, sandwich","lpSolve, Hmisc, lme4 (>= 1.0), stats, graphics, grDevices,
utils, boot",NA,"mgcv, quantreg, VGAM, SuppDists, survival, parallel,
testthat, speedglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"memoise","memoise","C:/Program Files/R/R-4.2.3/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"metadat","metadat","C:/Program Files/R/R-4.2.3/library","1.2-0",NA,"R (>= 4.0.0)","utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"metafor","metafor","C:/Program Files/R/R-4.2.3/library","4.2-0",NA,"R (>= 4.0.0), methods, Matrix, metadat, numDeriv","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply",NA,"lme4, pracma, minqa, nloptr, dfoptim, ucminf, lbfgsb3c,
subplex, BB, Rsolnp, alabama, Rcgmin, Rvmmin, optimParallel,
CompQuadForm, mvtnorm, BiasedUrn, Epi, survival, GLMMadaptive,
glmmTMB, multcomp, gsl, sp, ape, boot, clubSandwich, crayon,
R.rsp, testthat, rmarkdown, wildmeta, emmeans, estmeansd,
metaBLUE",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"metaSEM","metaSEM","C:/Program Files/R/R-4.2.3/library","1.3.0",NA,"R (>= 3.4.0), OpenMx","Matrix, MASS, ellipse, graphics, stats, utils, mvtnorm,
numDeriv, lavaan",NA,"metafor, semPlot, R.rsp, testthat, matrixcalc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"methods","methods","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"mfx","mfx","C:/Program Files/R/R-4.2.3/library","1.2-2",NA,"stats, sandwich, lmtest, MASS, betareg",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.3"
"mgcv","mgcv","C:/Program Files/R/R-4.2.3/library","1.8-42","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"mi","mi","C:/Program Files/R/R-4.2.3/library","1.1",NA,"R (>= 3.0.0), methods, Matrix, stats4","arm (>= 1.4-11)",NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"mice","mice","C:/Program Files/R/R-4.2.3/library","3.16.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, glmnet, graphics, grDevices, lattice,
methods, mitml, nnet, Rcpp, rpart, rlang, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, lme4, MASS,
miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"mime","mime","C:/Program Files/R/R-4.2.3/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"miniUI","miniUI","C:/Program Files/R/R-4.2.3/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"minqa","minqa","C:/Program Files/R/R-4.2.3/library","1.2.5",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"miscTools","miscTools","C:/Program Files/R/R-4.2.3/library","0.6-26",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"missForest","missForest","C:/Program Files/R/R-4.2.3/library","1.5",NA,NA,"randomForest,foreach,itertools,iterators,doRNG",NA,"doParallel",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"mitml","mitml","C:/Program Files/R/R-4.2.3/library","0.4-5",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"mitools","mitools","C:/Program Files/R/R-4.2.3/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"MLmetrics","MLmetrics","C:/Program Files/R/R-4.2.3/library","1.1.1",NA,"R (>= 2.10)","stats, utils, ROCR",NA,"e1071",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"mnormt","mnormt","C:/Program Files/R/R-4.2.3/library","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"mockr","mockr","C:/Program Files/R/R-4.2.3/library","0.2.1",NA,NA,"rlang, withr",NA,"covr, fs, knitr, pkgload, rmarkdown, testthat, usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"modelr","modelr","C:/Program Files/R/R-4.2.3/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"modelsummary","modelsummary","C:/Program Files/R/R-4.2.3/library","1.3.0",NA,"R (>= 3.5.0)","broom, checkmate (>= 2.1.0), data.table, generics, glue,
insight (>= 0.18.7), kableExtra (>= 1.2.1), parameters (>=
0.19.0), performance (>= 0.10.0), tables (>= 0.9.10)",NA,"betareg, bookdown, broom.mixed, clubSandwich, covr, digest,
DT, estimatr, fixest (> 0.10.3), flextable, future,
future.apply, gamlss, ggplot2, gt (>= 0.3.0), haven, huxtable,
IRdisplay, knitr, lfe, lme4, lmtest, magick, marginaleffects,
MASS, mgcv, mice, nlme, nnet, officer, openxlsx, parallel,
pscl, rmarkdown, sandwich, spelling, survey, testthat, tibble,
tidyselect, vdiffr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"modeltools","modeltools","C:/Program Files/R/R-4.2.3/library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"moments","moments","C:/Program Files/R/R-4.2.3/library","0.14.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"msm","msm","C:/Program Files/R/R-4.2.3/library","1.7",NA,NA,"survival,mvtnorm,expm",NA,"mstate,minqa,doParallel,foreach,numDeriv,testthat,flexsurv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"multcomp","multcomp","C:/Program Files/R/R-4.2.3/library","1.4-23",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"multcompView","multcompView","C:/Program Files/R/R-4.2.3/library","0.1-9",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"multiwayvcov","multiwayvcov","C:/Program Files/R/R-4.2.3/library","1.2.3",NA,"R (>= 3.0.0)","sandwich, boot, compiler, parallel, stats, utils",NA,"lmtest",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"munsell","munsell","C:/Program Files/R/R-4.2.3/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"MVN","MVN","C:/Program Files/R/R-4.2.3/library","5.9",NA,"R (>= 3.5.0)","methods, nortest, moments, MASS, plyr, psych, boot, energy,
car",NA,"BiocStyle, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"mvtnorm","mvtnorm","C:/Program Files/R/R-4.2.3/library","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"naniar","naniar","C:/Program Files/R/R-4.2.3/library","1.0.0",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), norm,
magrittr, stats, visdat, rlang, forcats, viridis, glue, UpSetR,
cli, vctrs",NA,"knitr, rmarkdown, testthat (>= 3.0.0), rpart, rpart.plot,
covr, gridExtra, wakefield, vdiffr, here, simputation,
imputeTS, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"network","network","C:/Program Files/R/R-4.2.3/library","1.18.1",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"networkD3","networkD3","C:/Program Files/R/R-4.2.3/library","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"nleqslv","nleqslv","C:/Program Files/R/R-4.2.3/library","3.3.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"nlme","nlme","C:/Program Files/R/R-4.2.3/library","3.1-162","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"nloptr","nloptr","C:/Program Files/R/R-4.2.3/library","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"nlstools","nlstools","C:/Program Files/R/R-4.2.3/library","2.0-0",NA,NA,"graphics, grDevices, stats",NA,"knitr, rmarkdown, rticles",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"nnet","nnet","C:/Program Files/R/R-4.2.3/library","7.3-18","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"norm","norm","C:/Program Files/R/R-4.2.3/library","1.0-10.0",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nortest","nortest","C:/Program Files/R/R-4.2.3/library","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"np","np","C:/Program Files/R/R-4.2.3/library","0.60-17",NA,NA,"boot, cubature, methods, quadprog, quantreg, stats",NA,"MASS, logspline, ks",NA,"GPL",NA,NA,NA,NA,"yes","4.2.3"
"numDeriv","numDeriv","C:/Program Files/R/R-4.2.3/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"nycflights13","nycflights13","C:/Program Files/R/R-4.2.3/library","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.2.3"
